Week;Count
01/01/2018;159
08/01/2018;92
15/01/2018;15
22/01/2018;14
29/01/2018;22
05/02/2018;19
12/02/2018;20
19/02/2018;113
26/02/2018;24
05/03/2018;18
12/03/2018;47
19/03/2018;21
26/03/2018;14
02/04/2018;46
09/04/2018;22
16/04/2018;60
23/04/2018;54
30/04/2018;74
07/05/2018;76
14/05/2018;88
21/05/2018;68
28/05/2018;34
04/06/2018;63
11/06/2018;44
18/06/2018;40
25/06/2018;48
02/07/2018;51
09/07/2018;95
16/07/2018;97
23/07/2018;18
30/07/2018;34
06/08/2018;9
13/08/2018;18
20/08/2018;7
27/08/2018;163
03/09/2018;116
10/09/2018;12
17/09/2018;94
24/09/2018;9
01/10/2018;48
08/10/2018;48
15/10/2018;8
22/10/2018;12
29/10/2018;33
05/11/2018;87
12/11/2018;3
19/11/2018;104
26/11/2018;2
03/12/2018;4
10/12/2018;9
17/12/2018;30
24/12/2018;2
31/12/2018;6
07/01/2019;8
14/01/2019;76
21/01/2019;101
28/01/2019;11
04/02/2019;7
11/02/2019;23
18/02/2019;48
25/02/2019;64
04/03/2019;40
11/03/2019;34
18/03/2019;55
25/03/2019;70
01/04/2019;120
08/04/2019;82
15/04/2019;100
22/04/2019;143
29/04/2019;128
06/05/2019;88
13/05/2019;87
20/05/2019;117
27/05/2019;119
03/06/2019;187
10/06/2019;54
17/06/2019;77
24/06/2019;36
01/07/2019;41
08/07/2019;58
15/07/2019;81
22/07/2019;42
29/07/2019;41
05/08/2019;37
12/08/2019;94
19/08/2019;41
26/08/2019;26
02/09/2019;36
09/09/2019;25
16/09/2019;192
23/09/2019;76
30/09/2019;156
07/10/2019;23
14/10/2019;7
21/10/2019;86
28/10/2019;10
04/11/2019;10
11/11/2019;27
18/11/2019;27
25/11/2019;32
02/12/2019;114
09/12/2019;8
16/12/2019;13
23/12/2019;67
30/12/2019;24
06/01/2020;45
13/01/2020;35
20/01/2020;18
27/01/2020;35
03/02/2020;15
10/02/2020;30
17/02/2020;41
24/02/2020;56
02/03/2020;37
09/03/2020;107
16/03/2020;50
23/03/2020;116
30/03/2020;110
06/04/2020;159
13/04/2020;97
20/04/2020;113
27/04/2020;192
04/05/2020;127
11/05/2020;58
18/05/2020;84
25/05/2020;90
01/06/2020;186
08/06/2020;109
15/06/2020;1418
22/06/2020;228
29/06/2020;62
06/07/2020;74
13/07/2020;37
20/07/2020;72
27/07/2020;43
03/08/2020;32
10/08/2020;28
17/08/2020;49
24/08/2020;102
31/08/2020;28
07/09/2020;73
14/09/2020;90
21/09/2020;70
28/09/2020;138
05/10/2020;77
12/10/2020;25
19/10/2020;4
26/10/2020;8
02/11/2020;21
09/11/2020;43
16/11/2020;17
23/11/2020;8
30/11/2020;12
07/12/2020;47
14/12/2020;77
21/12/2020;14
28/12/2020;69
04/01/2021;117
11/01/2021;31
18/01/2021;44
25/01/2021;92
01/02/2021;107
08/02/2021;40
15/02/2021;19
22/02/2021;57
01/03/2021;10
08/03/2021;50
15/03/2021;33
22/03/2021;73
29/03/2021;57
05/04/2021;114
12/04/2021;90
19/04/2021;77
26/04/2021;138
03/05/2021;119
10/05/2021;109
17/05/2021;115
24/05/2021;68
31/05/2021;51
07/06/2021;257
14/06/2021;98
21/06/2021;49
28/06/2021;60
05/07/2021;56
12/07/2021;55
19/07/2021;25
26/07/2021;58
02/08/2021;43
09/08/2021;33
16/08/2021;14
23/08/2021;46
30/08/2021;92
06/09/2021;332
13/09/2021;125
20/09/2021;49
27/09/2021;61
04/10/2021;82
11/10/2021;20
18/10/2021;54
25/10/2021;11
01/11/2021;7
08/11/2021;37
15/11/2021;2
22/11/2021;7
29/11/2021;18
06/12/2021;12
13/12/2021;49
20/12/2021;11
27/12/2021;13
03/01/2022;40
10/01/2022;48
17/01/2022;39
24/01/2022;38
31/01/2022;27
07/02/2022;36
14/02/2022;29
21/02/2022;45
28/02/2022;148
07/03/2022;99
14/03/2022;72
21/03/2022;110
28/03/2022;187
04/04/2022;100
11/04/2022;104
18/04/2022;72
25/04/2022;124
02/05/2022;45
09/05/2022;84
16/05/2022;84
23/05/2022;29
30/05/2022;4
